gene_id_(GENCODE vM10)	gene_short_name	locus	DRG_normal_input1_TPM	DRG_normal_input2_TPM	DRG_normal_input3_TPM	DRG_normal_input4_TPM	DRG_normal_TRAP1 _TPM	DRG_normal_TRAP2_TPM	DRG_normal_TRAP3_TPM	DRG_normal_TRAP4_TPM	DRG_CIPN_input5_TPM	DRG_CIPN_input6_TPM	DRG_CIPN_input7_subsample1_TPM	DRG_CIPN_input7_subsample2_TPM	MERGED_DRG_CIPN_input7_TPM	DRG_CIPN_input8_TPM	DRG_CIPN_TRAP5_TPM	DRG_CIPN_TRAP6_TPM	DRG_CIPN_TRAP7_subsample1_TPM	DRG_CIPN_TRAP7_subsample2_TPM	MERGED_DRG_CIPN_TRAP7_TPM	DRG_CIPN_TRAP8_TPM
ENSMUSG00000047197.1	Gjd3	chr11:98982179-98983016	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047203.2	Vmn1r54	chr6:90269105-90270053	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047205.12	Dusp18	chr11:3895239-3901296	19.55	10.12	15.06	10.08	2.84	11.52	14.77	0.00	19.92	13.74	22.00	13.13	16.39	11.47	9.24	10.33	0.19	1.00	0.79	4.54
ENSMUSG00000047207.2	Olfr1495	chr19:13768306-13769395	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047213.14	Ythdf3	chr3:16183211-16217037	234.38	129.05	253.28	348.80	30.38	39.85	90.56	71.50	254.99	290.92	209.58	266.61	245.64	262.54	85.24	97.09	65.72	71.46	69.98	101.65
ENSMUSG00000047215.14	Rpl9	chr5:65388363-65391444	176.57	299.60	197.61	235.35	292.58	398.27	296.43	248.65	190.22	212.27	253.31	248.02	249.96	249.54	394.03	391.95	539.71	326.33	381.32	440.53
ENSMUSG00000047216.8	Cdh19	chr1:110888325-110977584	45.36	19.22	41.23	34.46	0.35	2.16	5.17	10.55	43.83	37.26	54.66	59.86	57.95	48.04	4.06	5.20	5.53	9.54	8.51	15.98
ENSMUSG00000047220.5	Ccdc36	chr9:108392804-108428484	14.54	8.32	12.50	49.23	4.14	5.14	0.10	26.79	12.26	11.96	24.13	25.94	25.28	19.89	0.13	0.43	6.84	6.22	6.38	8.51
ENSMUSG00000047221.5	Fam185a	chr5:21424957-21482124	32.63	21.34	34.88	34.22	27.49	18.00	21.85	26.29	20.43	22.63	19.60	24.85	22.92	28.46	27.39	26.75	23.44	9.96	13.43	14.94
ENSMUSG00000047222.6	Rnase2a	chr14:51255265-51256112	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047225.7	Olfr684	chr7:105156714-105157719	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047227.4	Gm527	chr12:64917910-64924591	8.77	13.41	10.84	8.44	0.25	10.62	6.72	1.84	5.41	4.93	6.40	4.53	5.22	3.52	12.84	20.66	0.00	2.32	1.72	3.50
ENSMUSG00000047228.9	BC048546	chr6:128539820-128581608	16.42	29.26	59.88	41.02	22.20	28.96	53.47	126.08	64.16	48.18	44.93	72.98	62.67	89.20	82.95	73.79	62.53	125.65	109.38	117.62
ENSMUSG00000047230.6	Cldn2	chrX:139800827-139811386	0.49	0.00	0.83	0.00	0.00	0.00	0.05	0.00	0.10	0.32	1.07	0.00	0.39	0.31	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047237.13	Fbxw21	chr9:109139446-109162041	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.40	0.00	0.31	0.20	0.15	0.00	0.00	0.66	0.00	0.17	0.95
ENSMUSG00000047238.4	Mageh1	chrX:153036165-153037575	67.34	45.97	52.70	63.06	20.25	3.09	19.79	14.57	78.05	78.33	61.06	64.39	63.16	61.66	53.99	66.15	34.22	39.67	38.27	27.23
ENSMUSG00000047242.14	Taf9b	chrX:106206882-106221158	43.48	46.36	47.38	11.02	3.24	9.65	19.22	3.18	52.20	56.18	82.39	60.79	68.73	59.67	15.79	17.33	38.91	51.46	48.22	38.01
ENSMUSG00000047246.6	Hist1h2be	chr13:23583741-23621124	11.69	3.92	6.01	6.09	0.05	15.81	0.98	0.67	6.03	5.34	9.87	7.03	8.07	6.73	0.07	21.73	28.41	25.56	26.29	3.88
ENSMUSG00000047248.20	C2cd3	chr7:100326736-100486432	25.81	14.04	19.27	29.30	33.37	2.09	5.37	6.03	15.73	16.73	25.86	21.41	23.05	25.70	6.29	0.12	62.53	8.38	22.34	8.32
ENSMUSG00000047250.13	Ptgs1	chr2:36230425-36252272	1.81	0.39	1.11	1.41	0.05	0.22	0.00	1.51	3.88	2.83	6.40	2.50	3.93	1.84	0.07	0.00	0.00	0.08	0.06	1.32
ENSMUSG00000047253.4	Krtap1-5	chr11:99579975-99581016	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047257.13	Prss45	chr9:110834587-110841313	0.00	0.16	0.28	0.70	0.00	0.00	0.00	0.00	0.51	0.08	0.00	0.31	0.20	0.31	0.00	0.00	0.00	0.00	0.00	1.23
ENSMUSG00000047259.2	Mc4r	chr18:66857714-66860472	1.25	0.71	2.00	2.58	0.10	0.11	3.10	2.34	1.12	2.34	0.40	2.97	2.02	3.37	0.00	0.00	0.00	6.97	5.17	2.08
ENSMUSG00000047260.4	Emc6	chr11:73175518-73177037	281.76	277.63	225.31	348.80	327.90	324.31	268.17	511.53	215.96	216.47	215.84	248.80	236.68	319.61	253.10	388.28	453.65	414.39	424.51	406.11
ENSMUSG00000047261.9	Gap43	chr16:42248441-42340651	262.84	373.89	245.68	184.72	281.01	253.97	335.69	354.80	368.28	299.33	254.11	294.90	279.90	277.54	396.52	359.48	405.84	527.01	495.78	445.63
ENSMUSG00000047264.8	Zfp358	chr8:3493137-3497208	13.22	24.16	20.72	18.28	31.63	34.41	31.46	24.45	19.00	20.61	21.86	18.44	19.70	23.71	22.54	27.18	36.09	17.43	22.24	27.33
ENSMUSG00000047281.3	Sfn	chr4:133600555-133602168	5.57	10.28	5.53	11.02	37.66	10.77	11.47	14.57	7.97	8.89	7.47	6.88	7.09	5.51	2.10	36.74	18.75	10.71	12.78	12.39
ENSMUSG00000047284.14	Neurl4	chr11:69901071-69913820	100.25	66.13	88.27	132.91	161.23	152.80	84.10	157.73	44.75	64.42	58.39	46.26	50.72	58.75	67.48	88.74	0.37	39.01	29.05	42.55
ENSMUSG00000047286.5	Olfr370	chr8:83535813-83542188	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047293.6	Gpr15	chr16:58717434-58718724	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047295.16	Smgc	chr15:91838264-91934555	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047298.3	Kcnv2	chr19:27322587-27337179	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047307.2	Pcdhb13	chr18:36930183-37841873	0.56	0.78	1.93	1.88	0.10	0.11	1.24	0.50	1.33	1.37	1.60	0.78	1.08	2.14	0.00	0.00	0.00	0.00	0.00	1.70
ENSMUSG00000047330.8	Kcne4	chr1:78791622-79224511	3.76	2.35	3.73	3.98	0.00	0.26	2.58	0.17	2.55	4.85	5.73	9.06	7.84	9.64	5.11	7.76	0.09	3.40	2.55	4.35
ENSMUSG00000047342.17	Zfp286	chr11:62749851-62789462	6.26	1.49	3.52	4.69	0.10	0.15	0.72	3.18	3.98	3.07	2.67	5.47	4.44	3.21	0.00	5.32	0.47	0.08	0.18	2.93
ENSMUSG00000047343.4	Mettl21c	chr1:44009407-44020034	0.83	1.10	1.73	0.00	0.00	0.07	0.00	0.00	1.84	0.89	0.93	0.63	0.74	0.00	0.00	0.00	0.00	0.17	0.12	0.00
ENSMUSG00000047344.9	Lancl3	chrX:9199901-9268085	1.81	2.90	8.98	6.33	0.00	0.30	0.41	0.17	9.40	7.44	14.27	9.53	11.27	6.12	0.00	0.00	0.00	0.00	0.00	3.12
ENSMUSG00000047352.5	Olfr976	chr9:39954256-39957069	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047356.2	Lcn10	chr2:25682725-25686081	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047361.15	Gm973	chr1:59516263-59670834	0.07	0.16	2.56	1.41	0.00	0.00	0.00	0.33	1.33	2.43	4.93	2.50	3.39	1.68	0.00	0.00	0.00	0.00	0.00	1.13
ENSMUSG00000047363.4	Cstad	chr2:30595039-30608943	5.01	3.37	3.45	4.22	0.05	0.07	1.29	5.86	2.04	2.02	3.07	0.94	1.72	1.38	0.00	0.00	0.00	0.00	0.00	2.74
ENSMUSG00000047368.3	Abhd17b	chr19:21653308-21685637	169.54	125.21	140.97	120.25	61.66	104.97	97.84	37.84	133.32	126.18	81.86	75.01	77.53	78.03	163.01	76.79	31.50	82.58	69.41	71.77
ENSMUSG00000047369.15	Dnah14	chr1:181576558-181843046	7.10	3.61	2.62	3.75	4.49	0.11	0.15	11.22	1.74	2.43	4.93	3.59	4.09	4.74	0.00	0.00	0.09	0.75	0.58	1.13
ENSMUSG00000047371.7	Zfp768	chr7:127342794-127345589	19.41	17.26	17.96	16.64	30.18	6.37	19.06	9.04	30.34	28.29	16.26	12.66	13.98	16.52	15.99	35.77	4.41	9.79	8.40	15.03
ENSMUSG00000047379.6	B4gat1	chr19:5038825-5041134	83.69	65.51	71.07	104.78	37.71	57.03	37.66	108.84	71.10	71.54	46.13	52.35	50.07	63.03	28.76	44.05	34.87	48.80	45.21	65.53
ENSMUSG00000047388.10	Atmin	chr8:116943392-116960445	41.32	52.17	43.51	31.88	39.96	26.43	48.25	27.79	38.41	39.20	51.73	36.26	41.95	35.34	66.04	19.81	56.81	54.69	55.24	43.49
ENSMUSG00000047390.6	Defb9	chr8:21881712-21885421	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047394.7	Odf3b	chr15:89377449-89379254	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.08	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047407.17	Tgif1	chr17:70844204-70853546	6.47	1.73	2.07	1.88	13.67	0.26	3.87	0.00	5.62	6.39	3.60	4.22	3.99	4.13	0.00	0.00	0.00	0.58	0.43	0.95
ENSMUSG00000047409.13	Ctdspl	chr9:118606689-119043998	5.57	8.00	9.81	10.55	0.15	8.35	0.93	3.52	12.46	9.94	10.00	7.97	8.72	8.57	1.64	16.05	3.56	0.58	1.35	5.77
ENSMUSG00000047412.15	Zbtb44	chr9:31030643-31075879	282.32	136.19	217.29	271.68	45.60	62.92	87.31	170.62	148.23	161.75	117.05	123.62	121.20	147.03	91.07	64.22	60.47	110.38	97.52	76.30
ENSMUSG00000047414.6	Flrt2	chr12:95692225-95785215	21.29	18.12	33.15	18.99	0.10	6.00	5.32	2.68	41.27	48.74	43.33	35.94	38.66	28.92	21.36	5.99	0.28	6.89	5.19	21.94
ENSMUSG00000047415.11	Gpr68	chr12:100779056-100908198	5.84	2.98	4.56	3.28	0.00	8.50	20.77	19.26	6.44	5.66	6.00	2.50	3.79	5.81	9.76	4.40	0.19	5.15	3.87	5.29
ENSMUSG00000047417.17	Rexo1	chr10:80540921-80561560	15.72	50.36	18.37	24.61	0.65	9.62	9.66	32.82	40.97	27.73	37.06	47.04	43.37	45.44	34.07	24.06	109.03	50.54	65.62	40.56
ENSMUSG00000047419.5	Cmya5	chr13:93040712-93144724	21.36	43.62	21.14	11.72	0.45	18.27	5.01	7.53	25.23	30.39	37.33	18.75	25.58	20.20	3.01	5.99	0.09	0.08	0.09	7.66
ENSMUSG00000047420.8	Fam180a	chr6:35312667-35326141	7.79	6.43	6.91	4.45	1.30	0.26	0.00	0.00	4.90	5.82	6.40	5.00	5.52	5.66	0.00	0.03	0.00	0.00	0.00	0.00
ENSMUSG00000047423.9	AI837181	chr19:5425156-5427313	0.28	4.24	1.73	6.09	0.05	0.07	5.32	5.69	5.82	2.59	6.27	7.66	7.15	7.65	0.07	0.06	52.50	1.41	14.58	7.38
ENSMUSG00000047428.14	Dlk2	chr17:46297420-46328352	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047434.13	Xxylt1	chr16:30955626-31081432	2.09	3.69	1.45	1.41	0.05	0.07	0.00	3.18	1.53	2.43	2.00	1.88	1.92	1.84	4.13	13.73	0.00	0.08	0.06	1.04
ENSMUSG00000047441.3	Antxrl	chr14:34051131-34102754	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.74	0.28
ENSMUSG00000047443.14	Fam132b	chr1:91366429-91398815	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047444.2	Olfr139	chr11:74044324-74056551	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047446.18	Arl4a	chr12:40005446-40038025	39.10	39.54	42.20	38.44	21.45	22.52	46.34	34.99	77.54	64.83	51.33	52.35	51.98	41.77	42.46	30.48	0.19	17.35	12.92	42.83
ENSMUSG00000047454.11	Gphn	chr12:78226654-78684767	26.30	32.48	19.48	12.42	15.17	0.86	6.82	25.62	33.81	29.83	29.86	23.91	26.10	24.63	10.22	3.42	0.00	12.28	9.12	14.56
ENSMUSG00000047459.14	Dynlrb1	chr2:155236532-155250277	126.55	186.79	199.13	64.46	137.99	146.46	227.87	36.50	150.07	135.32	139.72	118.93	126.57	125.30	464.72	436.12	459.28	152.54	231.60	202.25
ENSMUSG00000047462.8	A530099J19Rik	chr13:19727416-19732951	0.00	1.18	0.00	0.00	0.00	0.00	0.00	2.68	0.10	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	1.13
ENSMUSG00000047466.9	8030462N17Rik	chr18:77633280-77714010	0.77	0.55	0.14	0.47	0.05	0.04	0.00	0.00	0.92	1.29	0.53	1.41	1.09	0.76	0.00	0.00	0.00	0.00	0.00	1.51
ENSMUSG00000047473.14	Zfp30	chr7:29783997-29794702	18.02	13.49	14.85	14.77	51.98	24.71	13.28	19.76	17.78	16.25	19.06	13.44	15.51	11.32	16.77	14.95	0.00	8.96	6.65	14.18
ENSMUSG00000047485.6	Klhl34	chrX:157818434-157820369	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.03	0.00	0.00	0.00	0.00
ENSMUSG00000047492.4	Inhbe	chr10:127349401-127351772	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047495.15	Dlgap2	chr8:14095864-14847680	0.70	0.63	0.07	0.70	0.00	0.04	0.00	0.00	0.61	0.24	0.00	0.63	0.40	0.46	0.00	6.05	0.00	0.00	0.00	0.00
ENSMUSG00000047496.6	Rnf152	chr1:105276913-105361737	30.19	18.44	31.36	18.52	10.08	1.12	7.23	3.01	40.97	50.12	37.33	24.07	28.94	19.58	10.09	0.15	32.53	1.00	9.12	9.17
ENSMUSG00000047497.9	Adamts12	chr15:11064789-11346867	1.46	0.71	1.45	0.70	0.00	0.04	1.55	0.00	2.45	1.13	0.93	0.63	0.74	1.07	0.00	0.00	0.00	0.00	0.00	1.23
ENSMUSG00000047501.3	Cldn4	chr5:134945118-134946934	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047502.14	Mroh7	chr4:106680416-106730925	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.16	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047507.12	Baiap3	chr17:25240169-25256364	50.93	41.50	75.29	61.65	79.07	129.43	139.79	69.82	65.18	72.27	55.73	58.76	57.65	79.41	83.99	107.97	32.44	82.08	69.29	122.54
ENSMUSG00000047508.8	Mbd3l2	chr9:18443455-18446312	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047511.3	Olfr1396	chr11:48904655-49135387	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047514.6	Tspyl1	chr10:34282189-34285275	354.67	289.95	327.53	278.48	318.42	346.68	302.01	144.00	249.06	295.04	264.77	177.38	209.51	196.91	268.76	521.80	189.00	167.48	173.03	207.73
ENSMUSG00000047515.8	BC049715	chr6:136813653-136840662	8.63	4.39	4.21	6.80	0.15	0.34	2.17	0.00	10.32	7.11	4.00	8.13	6.61	4.59	0.20	9.11	0.00	3.90	2.90	2.46
ENSMUSG00000047517.10	Dmbt1	chr7:130162450-133124354	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047518.3	Slfnl1	chr4:120532230-120536661	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047528.13	Als2cr12	chr1:58646687-58695989	3.48	0.63	4.28	0.94	0.70	12.30	6.41	1.17	2.55	2.75	5.20	2.81	3.69	2.45	0.00	7.76	0.09	0.00	0.02	4.54
ENSMUSG00000047531.8	Rtp2	chr16:23925547-23930787	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.08	0.00	0.16	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047534.16	Mis18bp1	chr12:65132733-65172604	5.43	2.90	2.21	6.80	0.10	0.19	1.76	7.53	3.68	3.88	5.20	4.53	4.78	1.99	0.13	0.06	0.09	11.12	8.28	1.89
ENSMUSG00000047535.10	Olfr67	chr7:103787312-103788275	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047539.9	Fbxo28	chr1:182313101-182341629	41.53	40.32	47.11	38.68	8.18	28.22	45.31	38.34	47.91	57.63	46.53	41.88	43.59	43.45	51.17	86.26	0.66	65.07	48.47	37.16
ENSMUSG00000047544.6	Olfr616	chr7:103564323-103565277	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047545.4	Olfr629	chr7:103740200-103741322	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047547.14	Cltb	chr13:54592400-54611344	407.40	324.15	437.08	309.19	438.55	248.68	312.54	378.08	289.11	279.60	336.50	404.30	379.37	302.17	326.41	310.15	348.93	515.72	472.74	386.06
ENSMUSG00000047554.14	Tmem41b	chr7:109972186-109986929	67.14	69.35	97.32	64.23	32.13	35.75	24.75	22.60	81.93	81.24	81.99	71.58	75.41	73.29	82.09	40.44	24.84	88.97	72.44	72.71
ENSMUSG00000047557.2	Lxn	chr3:67430095-67476529	37.85	215.89	51.18	13.13	19.85	33.33	31.46	10.38	60.17	47.13	102.39	77.05	86.36	69.46	77.70	149.54	164.72	107.89	122.54	94.74
ENSMUSG00000047562.2	Mmp10	chr9:7502351-7510238	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047564.4	Krtap3-1	chr11:99566026-99566630	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047565.4	Acot10	chr15:20665218-20666750	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.06	0.00
ENSMUSG00000047583.9	Tyw3	chr3:154576430-154623182	2.71	6.51	6.77	3.98	0.30	0.15	4.29	6.53	8.48	8.81	4.13	9.06	7.25	6.58	6.42	5.75	0.09	12.53	9.33	6.71
ENSMUSG00000047586.3	Nccrp1	chr7:28399521-28598185	0.83	0.71	0.69	1.17	0.00	2.42	1.19	0.00	0.92	0.40	2.53	0.00	0.93	0.46	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047591.4	Mafa	chr15:75746842-75747922	0.14	0.00	0.00	0.00	0.00	0.00	1.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047592.17	Nxpe5	chr5:138225897-138253363	1.60	2.51	1.17	1.64	0.10	0.04	1.45	8.37	1.94	3.07	0.93	3.28	2.42	1.38	0.59	0.00	0.19	2.16	1.65	1.80
ENSMUSG00000047594.3	Olfr1122	chr2:87387706-87388687	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047603.9	Zfp235	chr7:24134168-24143241	11.06	9.81	13.95	8.67	6.68	7.90	2.32	3.18	9.91	11.16	7.47	9.85	8.97	14.69	0.00	0.03	0.09	6.47	4.83	14.28
ENSMUSG00000047604.3	Frat2	chr19:41845971-41848132	29.78	23.30	33.57	48.99	47.94	23.97	23.97	56.43	22.99	24.01	35.06	54.23	47.18	63.03	19.72	1.53	0.37	41.66	31.02	69.02
ENSMUSG00000047606.3	Ankrd34c	chr9:89725238-89738475	8.07	4.71	7.53	7.50	0.25	0.41	0.00	3.35	9.40	8.81	14.27	7.66	10.09	8.72	0.00	0.00	0.00	4.32	3.20	4.16
ENSMUSG00000047613.10	A430005L14Rik	chr4:153957236-153961925	34.51	18.36	14.57	29.30	53.13	43.84	13.33	53.41	14.40	14.87	8.27	17.19	13.91	17.14	27.65	12.81	16.78	3.49	6.91	14.94
ENSMUSG00000047617.11	BC029214	chr2:25455140-25461094	17.32	29.97	19.34	17.82	38.76	56.55	33.68	14.90	12.87	10.99	15.60	20.63	18.78	18.21	37.48	33.53	0.09	62.99	46.78	33.94
ENSMUSG00000047619.4	Ddi1	chr9:6168611-6378843	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047626.3	Olfr791	chr10:129526228-129527167	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047631.2	Apof	chr10:128267996-128270151	2.78	3.61	1.66	3.05	1.00	0.07	0.21	2.68	2.86	4.28	3.20	2.34	2.66	3.21	0.07	0.15	0.00	5.81	4.31	1.51
ENSMUSG00000047632.10	Fgfbp3	chr19:36917549-36919615	7.44	1.41	3.04	2.11	0.15	0.07	0.00	0.00	1.63	3.15	3.33	4.38	3.99	5.35	0.00	0.00	0.00	0.00	0.00	0.47
ENSMUSG00000047635.6	2810006K23Rik	chr5:124328088-124341844	5.64	3.14	5.94	12.66	50.68	19.12	13.38	27.96	8.48	8.25	9.33	7.19	7.98	7.04	6.94	0.37	0.00	10.13	7.52	8.04
ENSMUSG00000047636.2	Cdcp2	chr4:107096890-107107748	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047638.15	Nr1h4	chr10:89454233-89533585	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.47	0.00	0.54	0.15	0.00	0.00	0.00	0.00	0.00	0.85
ENSMUSG00000047641.7	Krt87	chr15:101431489-101438804	0.00	0.00	0.00	0.70	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047642.14	D930020B18Rik	chr10:121641587-121692892	0.00	0.24	0.00	0.00	0.00	0.04	0.00	1.51	0.00	0.08	0.40	0.00	0.15	0.46	0.00	0.00	0.00	5.23	3.88	0.57
ENSMUSG00000047648.13	Fbxo30	chr10:11281329-11298052	30.61	24.01	20.93	23.68	14.97	16.40	23.56	16.74	25.03	28.37	30.13	17.50	22.15	16.98	18.21	1.13	0.19	7.88	5.90	11.91
ENSMUSG00000047649.9	Cd3eap	chr7:19344777-19359483	12.45	15.38	15.61	15.94	30.63	22.07	25.31	44.54	20.13	19.00	19.73	23.60	22.18	23.71	45.08	19.66	35.06	45.31	42.67	24.49
ENSMUSG00000047654.6	Tssk6	chr8:69887787-69903518	0.00	0.00	1.04	0.23	0.00	0.00	0.00	0.17	0.10	0.89	0.00	0.78	0.49	0.61	0.00	0.00	0.00	0.00	0.00	3.59
ENSMUSG00000047655.1	Vmn1r74	chr7:11846774-11847689	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ENSMUSG00000047656.8	Trpt1	chr19:6996130-7019469	0.63	4.71	2.35	1.17	0.05	9.95	0.00	5.02	1.43	1.70	0.93	0.94	0.94	0.92	0.52	0.31	0.00	1.83	1.36	2.36
ENSMUSG00000047658.6	Gal3st3	chr19:5298330-5308738	5.36	1.65	4.14	4.22	0.35	4.66	0.00	11.22	3.58	4.61	1.47	1.88	1.73	2.45	0.26	0.52	0.09	11.62	8.65	2.46
ENSMUSG00000047667.5	Olfr26	chr9:38855059-38855990	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
