Gene type	Gene name	Gene description	NCBI gene (formerly Entrezgene) ID	Gene stable ID version
protein_coding	Pgap2	post-GPI attachment to proteins 2 [Source:MGI Symbol;Acc:MGI:2385286]	233575	ENSMUSG00000030990.18
protein_coding	Mki67	antigen identified by monoclonal antibody Ki 67 [Source:MGI Symbol;Acc:MGI:106035]	17345	ENSMUSG00000031004.8
protein_coding	Atp6ap2	ATPase, H+ transporting, lysosomal accessory protein 2 [Source:MGI Symbol;Acc:MGI:1917745]	70495	ENSMUSG00000031007.2
protein_coding	Usp9x	ubiquitin specific peptidase 9, X chromosome [Source:MGI Symbol;Acc:MGI:894681]	22284	ENSMUSG00000031010.17
protein_coding	Cask	calcium/calmodulin-dependent serine protein kinase (MAGUK family) [Source:MGI Symbol;Acc:MGI:1309489]	12361	ENSMUSG00000031012.17
protein_coding	Tmem9b	TMEM9 domain family, member B [Source:MGI Symbol;Acc:MGI:1915254]	56786	ENSMUSG00000031021.13
protein_coding	Akip1	A kinase (PRKA) interacting protein 1 [Source:MGI Symbol;Acc:MGI:3041226]	57373	ENSMUSG00000031023.5
protein_coding	Denn2b	DENN domain containing 2B [Source:MGI Symbol;Acc:MGI:108517]	76954	ENSMUSG00000031024.13
protein_coding	Stk33	serine/threonine kinase 33 [Source:MGI Symbol;Acc:MGI:2152419]	117229	ENSMUSG00000031027.15
protein_coding	Eif3f	eukaryotic translation initiation factor 3, subunit F [Source:MGI Symbol;Acc:MGI:1913335]	66085	ENSMUSG00000031029.6
protein_coding	Ndufb11	NADH:ubiquinone oxidoreductase subunit B11 [Source:MGI Symbol;Acc:MGI:1349919]	104130	ENSMUSG00000031059.9
protein_coding	Rbm10	RNA binding motif protein 10 [Source:MGI Symbol;Acc:MGI:2384310]	236732	ENSMUSG00000031060.16
protein_coding	Cdk16	cyclin-dependent kinase 16 [Source:MGI Symbol;Acc:MGI:97516]	18555	ENSMUSG00000031065.14
protein_coding	Usp11	ubiquitin specific peptidase 11 [Source:MGI Symbol;Acc:MGI:2384312]	236733	ENSMUSG00000031066.10
protein_coding	Glrx3	glutaredoxin 3 [Source:MGI Symbol;Acc:MGI:1353653]	30926	ENSMUSG00000031068.8
protein_coding	LTO1	ABCE maturation factor [Source:MGI Symbol;Acc:MGI:1919534]	72284	ENSMUSG00000031072.14
protein_coding	Fadd	Fas (TNFRSF6)-associated via death domain [Source:MGI Symbol;Acc:MGI:109324]	14082	ENSMUSG00000031077.7
protein_coding	Cttn	cortactin [Source:MGI Symbol;Acc:MGI:99695]	13043	ENSMUSG00000031078.15
protein_coding	Dock11	dedicator of cytokinesis 11 [Source:MGI Symbol;Acc:MGI:1923224]	75974	ENSMUSG00000031093.14
protein_coding	Cul4b	cullin 4B [Source:MGI Symbol;Acc:MGI:1919834]	72584	ENSMUSG00000031095.15
protein_coding	Tnni2	troponin I, skeletal, fast 2 [Source:MGI Symbol;Acc:MGI:105070]	21953	ENSMUSG00000031097.15
protein_coding	Smarca1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 1 [Source:MGI Symbol;Acc:MGI:1935127]	93761	ENSMUSG00000031099.16
protein_coding	Slc25a14	solute carrier family 25 (mitochondrial carrier, brain), member 14 [Source:MGI Symbol;Acc:MGI:1330823]	20523	ENSMUSG00000031105.16
protein_coding	Rbmx2	RNA binding motif protein, X-linked 2 [Source:MGI Symbol;Acc:MGI:1919414]	209003	ENSMUSG00000031107.6
protein_coding	Enox2	ecto-NOX disulfide-thiol exchanger 2 [Source:MGI Symbol;Acc:MGI:2384799]	209224	ENSMUSG00000031109.16
protein_coding	Stk26	serine/threonine kinase 26 [Source:MGI Symbol;Acc:MGI:1917665]	70415	ENSMUSG00000031112.10
protein_coding	Slc9a9	solute carrier family 9 (sodium/hydrogen exchanger), member 9 [Source:MGI Symbol;Acc:MGI:2679732]	331004	ENSMUSG00000031129.9
protein_coding	Arhgef6	Rac/Cdc42 guanine nucleotide exchange factor (GEF) 6 [Source:MGI Symbol;Acc:MGI:1920591]	73341	ENSMUSG00000031133.12
protein_coding	Fgf13	fibroblast growth factor 13 [Source:MGI Symbol;Acc:MGI:109178]	14168	ENSMUSG00000031137.17
protein_coding	Ccdc22	coiled-coil domain containing 22 [Source:MGI Symbol;Acc:MGI:1859608]	54638	ENSMUSG00000031143.4
protein_coding	Syp	synaptophysin [Source:MGI Symbol;Acc:MGI:98467]	20977	ENSMUSG00000031144.15
protein_coding	Prickle3	prickle planar cell polarity protein 3 [Source:MGI Symbol;Acc:MGI:1859635]	54630	ENSMUSG00000031145.15
protein_coding	Plp2	proteolipid protein 2 [Source:MGI Symbol;Acc:MGI:1298382]	18824	ENSMUSG00000031146.6
protein_coding	Praf2	PRA1 domain family 2 [Source:MGI Symbol;Acc:MGI:1859607]	54637	ENSMUSG00000031149.7
protein_coding	Gripap1	GRIP1 associated protein 1 [Source:MGI Symbol;Acc:MGI:1859616]	54645	ENSMUSG00000031153.16
protein_coding	Otud5	OTU domain containing 5 [Source:MGI Symbol;Acc:MGI:1859615]	54644	ENSMUSG00000031154.15
protein_coding	Slc35a2	solute carrier family 35 (UDP-galactose transporter), member A2 [Source:MGI Symbol;Acc:MGI:1345297]	22232	ENSMUSG00000031156.18
protein_coding	Pqbp1	polyglutamine binding protein 1 [Source:MGI Symbol;Acc:MGI:1859638]	54633	ENSMUSG00000031157.10
protein_coding	Timm17b	translocase of inner mitochondrial membrane 17b [Source:MGI Symbol;Acc:MGI:1343176]	21855	ENSMUSG00000031158.11
protein_coding	Hdac6	histone deacetylase 6 [Source:MGI Symbol;Acc:MGI:1333752]	15185	ENSMUSG00000031161.15
protein_coding	Wdr13	WD repeat domain 13 [Source:MGI Symbol;Acc:MGI:1914661]	73447	ENSMUSG00000031166.13
protein_coding	Rbm3	RNA binding motif (RNP1, RRM) protein 3 [Source:MGI Symbol;Acc:MGI:1099460]	19652	ENSMUSG00000031167.16
protein_coding	Ebp	phenylalkylamine Ca2+ antagonist (emopamil) binding protein [Source:MGI Symbol;Acc:MGI:107822]	13595	ENSMUSG00000031168.14
protein_coding	Porcn	porcupine O-acyltransferase [Source:MGI Symbol;Acc:MGI:1890212]	53627	ENSMUSG00000031169.13
protein_coding	Ftsj1	FtsJ RNA methyltransferase homolog 1 (E. coli) [Source:MGI Symbol;Acc:MGI:1859648]	54632	ENSMUSG00000031171.11
protein_coding	Rpgr	retinitis pigmentosa GTPase regulator [Source:MGI Symbol;Acc:MGI:1344037]	19893	ENSMUSG00000031174.17
protein_coding	Dynlt3	dynein light chain Tctex-type 3 [Source:MGI Symbol;Acc:MGI:1914367]	67117	ENSMUSG00000031176.8
protein_coding	Vbp1	von Hippel-Lindau binding protein 1 [Source:MGI Symbol;Acc:MGI:1333804]	22327	ENSMUSG00000031197.11
protein_coding	Fundc2	FUN14 domain containing 2 [Source:MGI Symbol;Acc:MGI:1914641]	67391	ENSMUSG00000031198.4
protein_coding	Brcc3	BRCA1/BRCA2-containing complex, subunit 3 [Source:MGI Symbol;Acc:MGI:2389572]	210766	ENSMUSG00000031201.17
protein_coding	Rab39b	RAB39B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:1915040]	67790	ENSMUSG00000031202.5
protein_coding	Msn	moesin [Source:MGI Symbol;Acc:MGI:97167]	17698	ENSMUSG00000031207.16
protein_coding	Ophn1	oligophrenin 1 [Source:MGI Symbol;Acc:MGI:2151070]	94190	ENSMUSG00000031214.13
protein_coding	Stard8	START domain containing 8 [Source:MGI Symbol;Acc:MGI:2448556]	236920	ENSMUSG00000031216.13
protein_coding	Efnb1	ephrin B1 [Source:MGI Symbol;Acc:MGI:102708]	13641	ENSMUSG00000031217.8
protein_coding	Igbp1	immunoglobulin (CD79A) binding protein 1 [Source:MGI Symbol;Acc:MGI:1346500]	18518	ENSMUSG00000031221.7
protein_coding	Pbdc1	polysaccharide biosynthesis domain containing 1 [Source:MGI Symbol;Acc:MGI:1914933]	67683	ENSMUSG00000031226.13
protein_coding	Magee1	melanoma antigen, family E, 1 [Source:MGI Symbol;Acc:MGI:2148149]	107528	ENSMUSG00000031227.8
protein_coding	Atrx	ATRX, chromatin remodeler [Source:MGI Symbol;Acc:MGI:103067]	22589	ENSMUSG00000031229.16
protein_coding	Cox7b	cytochrome c oxidase subunit 7B [Source:MGI Symbol;Acc:MGI:1913392]	66142	ENSMUSG00000031231.4
protein_coding	Itm2a	integral membrane protein 2A [Source:MGI Symbol;Acc:MGI:107706]	16431	ENSMUSG00000031239.5
protein_coding	2610002M06Rik	RIKEN cDNA 2610002M06 gene [Source:MGI Symbol;Acc:MGI:1914278]	67028	ENSMUSG00000031242.7
protein_coding	Hmgn5	high-mobility group nucleosome binding domain 5 [Source:MGI Symbol;Acc:MGI:1355295]	50887	ENSMUSG00000031245.8
protein_coding	Sh3bgrl	SH3-binding domain glutamic acid-rich protein like [Source:MGI Symbol;Acc:MGI:1930849]	56726	ENSMUSG00000031246.14
protein_coding	Cstf2	cleavage stimulation factor, 3' pre-RNA subunit 2 [Source:MGI Symbol;Acc:MGI:1343054]	108062	ENSMUSG00000031256.11
protein_coding	Nox1	NADPH oxidase 1 [Source:MGI Symbol;Acc:MGI:2450016]	237038	ENSMUSG00000031257.14
protein_coding	Acsl4	acyl-CoA synthetase long-chain family member 4 [Source:MGI Symbol;Acc:MGI:1354713]	50790	ENSMUSG00000031278.12
protein_coding	Pak3	p21 (RAC1) activated kinase 3 [Source:MGI Symbol;Acc:MGI:1339656]	18481	ENSMUSG00000031284.16
protein_coding	Dcx	doublecortin [Source:MGI Symbol;Acc:MGI:1277171]	13193	ENSMUSG00000031285.14
protein_coding	Lrch2	leucine-rich repeats and calponin homology (CH) domain containing 2 [Source:MGI Symbol;Acc:MGI:2147870]	210297	ENSMUSG00000031290.14
protein_coding	Cdkl5	cyclin-dependent kinase-like 5 [Source:MGI Symbol;Acc:MGI:1278336]	382253	ENSMUSG00000031292.14
protein_coding	Slc7a3	solute carrier family 7 (cationic amino acid transporter, y+ system), member 3 [Source:MGI Symbol;Acc:MGI:1100521]	11989	ENSMUSG00000031297.14
protein_coding	Adgrg2	adhesion G protein-coupled receptor G2 [Source:MGI Symbol;Acc:MGI:2446854]	237175	ENSMUSG00000031298.15
protein_coding	Pdha1	pyruvate dehydrogenase E1 alpha 1 [Source:MGI Symbol;Acc:MGI:97532]	18597	ENSMUSG00000031299.10
protein_coding	Nlgn3	neuroligin 3 [Source:MGI Symbol;Acc:MGI:2444609]	245537	ENSMUSG00000031302.16
protein_coding	Rps6ka3	ribosomal protein S6 kinase polypeptide 3 [Source:MGI Symbol;Acc:MGI:104557]	110651	ENSMUSG00000031309.15
protein_coding	Zmym3	zinc finger, MYM-type 3 [Source:MGI Symbol;Acc:MGI:1927231]	56364	ENSMUSG00000031310.16
protein_coding	Nono	non-POU-domain-containing, octamer binding protein [Source:MGI Symbol;Acc:MGI:1855692]	53610	ENSMUSG00000031311.17
protein_coding	Taf1	TATA-box binding protein associated factor 1 [Source:MGI Symbol;Acc:MGI:1336878]	270627	ENSMUSG00000031314.18
protein_coding	Rps4x	ribosomal protein S4, X-linked [Source:MGI Symbol;Acc:MGI:98158]	20102	ENSMUSG00000031320.9
protein_coding	Chic1	cysteine-rich hydrophobic domain 1 [Source:MGI Symbol;Acc:MGI:1344694]	12212	ENSMUSG00000031327.10
protein_coding	Abcb7	ATP-binding cassette, sub-family B (MDR/TAP), member 7 [Source:MGI Symbol;Acc:MGI:109533]	11306	ENSMUSG00000031333.7
protein_coding	Mtm1	X-linked myotubular myopathy gene 1 [Source:MGI Symbol;Acc:MGI:1099452]	17772	ENSMUSG00000031337.16
protein_coding	Gpm6b	glycoprotein m6b [Source:MGI Symbol;Acc:MGI:107672]	14758	ENSMUSG00000031342.17
protein_coding	Gabra3	gamma-aminobutyric acid (GABA) A receptor, subunit alpha 3 [Source:MGI Symbol;Acc:MGI:95615]	14396	ENSMUSG00000031343.13
protein_coding	Cetn2	centrin 2 [Source:MGI Symbol;Acc:MGI:1347085]	26370	ENSMUSG00000031347.12
protein_coding	Nsdhl	NAD(P) dependent steroid dehydrogenase-like [Source:MGI Symbol;Acc:MGI:1099438]	18194	ENSMUSG00000031349.4
protein_coding	Hccs	holocytochrome c synthetase [Source:MGI Symbol;Acc:MGI:106911]	15159	ENSMUSG00000031352.10
protein_coding	Rbbp7	retinoblastoma binding protein 7, chromatin remodeling factor [Source:MGI Symbol;Acc:MGI:1194910]	245688	ENSMUSG00000031353.13
protein_coding	Arhgap6	Rho GTPase activating protein 6 [Source:MGI Symbol;Acc:MGI:1196332]	11856	ENSMUSG00000031355.16
protein_coding	Syap1	synapse associated protein 1 [Source:MGI Symbol;Acc:MGI:1914293]	67043	ENSMUSG00000031357.3
protein_coding	Msl3	MSL complex subunit 3 [Source:MGI Symbol;Acc:MGI:1341851]	17692	ENSMUSG00000031358.17
protein_coding	Ctps2	cytidine 5'-triphosphate synthase 2 [Source:MGI Symbol;Acc:MGI:1933185]	55936	ENSMUSG00000031360.14
protein_coding	Zfp275	zinc finger protein 275 [Source:MGI Symbol;Acc:MGI:1350985]	27081	ENSMUSG00000031365.13
protein_coding	Ap1s2	adaptor-related protein complex 1, sigma 2 subunit [Source:MGI Symbol;Acc:MGI:1889383]	108012	ENSMUSG00000031367.15
protein_coding	Zrsr2	zinc finger (CCCH type), RNA binding motif and serine/arginine rich 2 [Source:MGI Symbol;Acc:MGI:103287]	22184	ENSMUSG00000031370.12
protein_coding	Haus7	HAUS augmin-like complex, subunit 7 [Source:MGI Symbol;Acc:MGI:1920988]	73738	ENSMUSG00000031371.14
protein_coding	Car5b	carbonic anhydrase 5b, mitochondrial [Source:MGI Symbol;Acc:MGI:1926249]	56078	ENSMUSG00000031373.4
protein_coding	Bgn	biglycan [Source:MGI Symbol;Acc:MGI:88158]	12111	ENSMUSG00000031375.17
protein_coding	Atp2b3	ATPase, Ca++ transporting, plasma membrane 3 [Source:MGI Symbol;Acc:MGI:1347353]	320707	ENSMUSG00000031376.15
protein_coding	Pir	pirin [Source:MGI Symbol;Acc:MGI:1916906]	69656	ENSMUSG00000031379.13
protein_coding	Hcfc1	host cell factor C1 [Source:MGI Symbol;Acc:MGI:105942]	15161	ENSMUSG00000031386.14
protein_coding	Renbp	renin binding protein [Source:MGI Symbol;Acc:MGI:105940]	19703	ENSMUSG00000031387.14
protein_coding	Naa10	N(alpha)-acetyltransferase 10, NatA catalytic subunit [Source:MGI Symbol;Acc:MGI:1915255]	56292	ENSMUSG00000031388.14
protein_coding	L1cam	L1 cell adhesion molecule [Source:MGI Symbol;Acc:MGI:96721]	16728	ENSMUSG00000031391.18
protein_coding	Irak1	interleukin-1 receptor-associated kinase 1 [Source:MGI Symbol;Acc:MGI:107420]	16179	ENSMUSG00000031392.18
protein_coding	Mecp2	methyl CpG binding protein 2 [Source:MGI Symbol;Acc:MGI:99918]	17257	ENSMUSG00000031393.16
protein_coding	Plxna3	plexin A3 [Source:MGI Symbol;Acc:MGI:107683]	18846	ENSMUSG00000031398.13
protein_coding	Fam3a	family with sequence similarity 3, member A [Source:MGI Symbol;Acc:MGI:1913544]	66294	ENSMUSG00000031399.15
protein_coding	G6pdx	glucose-6-phosphate dehydrogenase X-linked [Source:MGI Symbol;Acc:MGI:105979]	14381	ENSMUSG00000031400.10
protein_coding	Mpp1	membrane protein, palmitoylated [Source:MGI Symbol;Acc:MGI:105941]	17524	ENSMUSG00000031402.12
protein_coding	Dkc1	dyskeratosis congenita 1, dyskerin [Source:MGI Symbol;Acc:MGI:1861727]	245474	ENSMUSG00000031403.14
protein_coding	Tceal6	transcription elongation factor A (SII)-like 6 [Source:MGI Symbol;Acc:MGI:1923939]	66104	ENSMUSG00000031409.1
protein_coding	Morf4l2	mortality factor 4 like 2 [Source:MGI Symbol;Acc:MGI:1927167]	56397	ENSMUSG00000031422.16
protein_coding	Plp1	proteolipid protein (myelin) 1 [Source:MGI Symbol;Acc:MGI:97623]	18823	ENSMUSG00000031425.15
protein_coding	Zcchc18	zinc finger, CCHC domain containing 18 [Source:MGI Symbol;Acc:MGI:1914245]	66995	ENSMUSG00000031428.11
protein_coding	Psmd10	proteasome (prosome, macropain) 26S subunit, non-ATPase, 10 [Source:MGI Symbol;Acc:MGI:1858898]	53380	ENSMUSG00000031429.14
protein_coding	Tsc22d3	TSC22 domain family, member 3 [Source:MGI Symbol;Acc:MGI:1196284]	14605	ENSMUSG00000031431.13
protein_coding	Prps1	phosphoribosyl pyrophosphate synthetase 1 [Source:MGI Symbol;Acc:MGI:97775]	19139	ENSMUSG00000031432.3
protein_coding	Rbm41	RNA binding motif protein 41 [Source:MGI Symbol;Acc:MGI:2444923]	237073	ENSMUSG00000031433.15
protein_coding	Morc4	microrchidia 4 [Source:MGI Symbol;Acc:MGI:1922996]	75746	ENSMUSG00000031434.15
protein_coding	Rnf128	ring finger protein 128 [Source:MGI Symbol;Acc:MGI:1914139]	66889	ENSMUSG00000031438.11
protein_coding	Atp11a	ATPase, class VI, type 11A [Source:MGI Symbol;Acc:MGI:1354735]	50770	ENSMUSG00000031441.15
protein_coding	F10	coagulation factor X [Source:MGI Symbol;Acc:MGI:103107]	14058	ENSMUSG00000031444.16
protein_coding	Cul4a	cullin 4A [Source:MGI Symbol;Acc:MGI:1914487]	99375	ENSMUSG00000031446.14
protein_coding	Lamp1	lysosomal-associated membrane protein 1 [Source:MGI Symbol;Acc:MGI:96745]	16783	ENSMUSG00000031447.7
protein_coding	Gas6	growth arrest specific 6 [Source:MGI Symbol;Acc:MGI:95660]	14456	ENSMUSG00000031451.6
protein_coding	Rasa3	RAS p21 protein activator 3 [Source:MGI Symbol;Acc:MGI:1197013]	19414	ENSMUSG00000031453.16
protein_coding	Coprs	coordinator of PRMT5, differentiation stimulator [Source:MGI Symbol;Acc:MGI:1913673]	66423	ENSMUSG00000031458.8
protein_coding	Angpt2	angiopoietin 2 [Source:MGI Symbol;Acc:MGI:1202890]	11601	ENSMUSG00000031465.6
protein_coding	Agpat5	1-acylglycerol-3-phosphate O-acyltransferase 5 (lysophosphatidic acid acyltransferase, epsilon) [Source:MGI Symbol;Acc:MGI:1196345]	52123	ENSMUSG00000031467.10
protein_coding	Nek3	NIMA (never in mitosis gene a)-related expressed kinase 3 [Source:MGI Symbol;Acc:MGI:1344371]	23954	ENSMUSG00000031478.16
protein_coding	Vps36	vacuolar protein sorting 36 [Source:MGI Symbol;Acc:MGI:1917410]	70160	ENSMUSG00000031479.9
protein_coding	Thsd1	thrombospondin, type I, domain 1 [Source:MGI Symbol;Acc:MGI:1929096]	56229	ENSMUSG00000031480.15
protein_coding	Slc25a15	solute carrier family 25 (mitochondrial carrier ornithine transporter), member 15 [Source:MGI Symbol;Acc:MGI:1342274]	18408	ENSMUSG00000031482.9
protein_coding	Erlin2	ER lipid raft associated 2 [Source:MGI Symbol;Acc:MGI:2387215]	244373	ENSMUSG00000031483.8
protein_coding	Plpbp	pyridoxal phosphate binding protein [Source:MGI Symbol;Acc:MGI:1891207]	114863	ENSMUSG00000031485.15
protein_coding	Adgra2	adhesion G protein-coupled receptor A2 [Source:MGI Symbol;Acc:MGI:1925810]	78560	ENSMUSG00000031486.15
protein_coding	Brf2	BRF2, RNA polymerase III transcription initiation factor 50kDa subunit [Source:MGI Symbol;Acc:MGI:1913903]	66653	ENSMUSG00000031487.5
protein_coding	Adrb3	adrenergic receptor, beta 3 [Source:MGI Symbol;Acc:MGI:87939]	11556	ENSMUSG00000031489.15
protein_coding	Eif4ebp1	eukaryotic translation initiation factor 4E binding protein 1 [Source:MGI Symbol;Acc:MGI:103267]	13685	ENSMUSG00000031490.6
protein_coding	Chrna6	cholinergic receptor, nicotinic, alpha polypeptide 6 [Source:MGI Symbol;Acc:MGI:106213]	11440	ENSMUSG00000031491.10
protein_coding	Chrnb3	cholinergic receptor, nicotinic, beta polypeptide 3 [Source:MGI Symbol;Acc:MGI:106212]	108043	ENSMUSG00000031492.13
protein_coding	Col4a1	collagen, type IV, alpha 1 [Source:MGI Symbol;Acc:MGI:88454]	12826	ENSMUSG00000031502.11
protein_coding	Col4a2	collagen, type IV, alpha 2 [Source:MGI Symbol;Acc:MGI:88455]	12827	ENSMUSG00000031503.13
protein_coding	Naxd	NAD(P)HX dehydratase [Source:MGI Symbol;Acc:MGI:1913353]	69225	ENSMUSG00000031505.11
protein_coding	Ankrd10	ankyrin repeat domain 10 [Source:MGI Symbol;Acc:MGI:1921840]	102334	ENSMUSG00000031508.14
protein_coding	Leprotl1	leptin receptor overlapping transcript-like 1 [Source:MGI Symbol;Acc:MGI:1915442]	68192	ENSMUSG00000031513.8
protein_coding	Dctn6	dynactin 6 [Source:MGI Symbol;Acc:MGI:1343154]	22428	ENSMUSG00000031516.11
protein_coding	Gpm6a	glycoprotein m6a [Source:MGI Symbol;Acc:MGI:107671]	234267	ENSMUSG00000031517.8
protein_coding	Aga	aspartylglucosaminidase [Source:MGI Symbol;Acc:MGI:104873]	11593	ENSMUSG00000031521.5
protein_coding	Dlc1	deleted in liver cancer 1 [Source:MGI Symbol;Acc:MGI:1354949]	50768	ENSMUSG00000031523.16
protein_coding	Eri1	exoribonuclease 1 [Source:MGI Symbol;Acc:MGI:1914526]	67276	ENSMUSG00000031527.7
protein_coding	Tnks	tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase [Source:MGI Symbol;Acc:MGI:1341087]	21951	ENSMUSG00000031529.5
protein_coding	Mrps31	mitochondrial ribosomal protein S31 [Source:MGI Symbol;Acc:MGI:1913153]	57312	ENSMUSG00000031533.4
protein_coding	Smim19	small integral membrane protein 19 [Source:MGI Symbol;Acc:MGI:2142501]	102032	ENSMUSG00000031534.15
protein_coding	Polb	polymerase (DNA directed), beta [Source:MGI Symbol;Acc:MGI:97740]	18970	ENSMUSG00000031536.6
protein_coding	Ikbkb	inhibitor of kappaB kinase beta [Source:MGI Symbol;Acc:MGI:1338071]	16150	ENSMUSG00000031537.15
protein_coding	Plat	plasminogen activator, tissue [Source:MGI Symbol;Acc:MGI:97610]	18791	ENSMUSG00000031538.6
protein_coding	Ap3m2	adaptor-related protein complex 3, mu 2 subunit [Source:MGI Symbol;Acc:MGI:1929214]	64933	ENSMUSG00000031539.6
protein_coding	Ank1	ankyrin 1, erythroid [Source:MGI Symbol;Acc:MGI:88024]	11733	ENSMUSG00000031543.18
protein_coding	Gpat4	glycerol-3-phosphate acyltransferase 4 [Source:MGI Symbol;Acc:MGI:2142716]	102247	ENSMUSG00000031545.6
protein_coding	Gins4	GINS complex subunit 4 (Sld5 homolog) [Source:MGI Symbol;Acc:MGI:1923847]	109145	ENSMUSG00000031546.6
protein_coding	Sfrp1	secreted frizzled-related protein 1 [Source:MGI Symbol;Acc:MGI:892014]	20377	ENSMUSG00000031548.7
protein_coding	Adam9	a disintegrin and metallopeptidase domain 9 (meltrin gamma) [Source:MGI Symbol;Acc:MGI:105376]	11502	ENSMUSG00000031555.15
protein_coding	Tm2d2	TM2 domain containing 2 [Source:MGI Symbol;Acc:MGI:1916992]	69742	ENSMUSG00000031556.6
protein_coding	Plekha2	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 2 [Source:MGI Symbol;Acc:MGI:1928144]	83436	ENSMUSG00000031557.16
protein_coding	Slit2	slit guidance ligand 2 [Source:MGI Symbol;Acc:MGI:1315205]	20563	ENSMUSG00000031558.15
protein_coding	Fgfr1	fibroblast growth factor receptor 1 [Source:MGI Symbol;Acc:MGI:95522]	14182	ENSMUSG00000031565.18
protein_coding	Rwdd4a	RWD domain containing 4A [Source:MGI Symbol;Acc:MGI:2681000]	192174	ENSMUSG00000031568.16
protein_coding	Plpp5	phospholipid phosphatase 5 [Source:MGI Symbol;Acc:MGI:1919160]	71910	ENSMUSG00000031570.17
protein_coding	Star	steroidogenic acute regulatory protein [Source:MGI Symbol;Acc:MGI:102760]	20845	ENSMUSG00000031574.8
protein_coding	Ash2l	ASH2 like histone lysine methyltransferase complex subunit [Source:MGI Symbol;Acc:MGI:1344416]	23808	ENSMUSG00000031575.18
protein_coding	Kcnu1	potassium channel, subfamily U, member 1 [Source:MGI Symbol;Acc:MGI:1202300]	16532	ENSMUSG00000031576.16
protein_coding	Mak16	MAK16 homolog [Source:MGI Symbol;Acc:MGI:1915170]	67920	ENSMUSG00000031578.5
protein_coding	Wrn	Werner syndrome RecQ like helicase [Source:MGI Symbol;Acc:MGI:109635]	22427	ENSMUSG00000031583.13
protein_coding	Gsr	glutathione reductase [Source:MGI Symbol;Acc:MGI:95804]	14782	ENSMUSG00000031584.16
protein_coding	Gtf2e2	general transcription factor II E, polypeptide 2 (beta subunit) [Source:MGI Symbol;Acc:MGI:1915403]	68153	ENSMUSG00000031585.13
protein_coding	Frg1	FSHD region gene 1 [Source:MGI Symbol;Acc:MGI:893597]	14300	ENSMUSG00000031590.8
protein_coding	Asah1	N-acylsphingosine amidohydrolase 1 [Source:MGI Symbol;Acc:MGI:1277124]	11886	ENSMUSG00000031591.14
protein_coding	Pcm1	pericentriolar material 1 [Source:MGI Symbol;Acc:MGI:1277958]	18536	ENSMUSG00000031592.10
protein_coding	Fgl1	fibrinogen-like protein 1 [Source:MGI Symbol;Acc:MGI:102795]	234199	ENSMUSG00000031594.9
protein_coding	Slc7a2	solute carrier family 7 (cationic amino acid transporter, y+ system), member 2 [Source:MGI Symbol;Acc:MGI:99828]	11988	ENSMUSG00000031596.15
protein_coding	Cnot7	CCR4-NOT transcription complex, subunit 7 [Source:MGI Symbol;Acc:MGI:1298230]	18983	ENSMUSG00000031601.16
protein_coding	Msmo1	methylsterol monoxygenase 1 [Source:MGI Symbol;Acc:MGI:1913484]	66234	ENSMUSG00000031604.10
protein_coding	Klhl2	kelch-like 2, Mayven [Source:MGI Symbol;Acc:MGI:1924363]	77113	ENSMUSG00000031605.8
protein_coding	Galnt7	polypeptide N-acetylgalactosaminyltransferase 7 [Source:MGI Symbol;Acc:MGI:1349449]	108150	ENSMUSG00000031608.13
protein_coding	Tmem184c	transmembrane protein 184C [Source:MGI Symbol;Acc:MGI:2384562]	234463	ENSMUSG00000031617.16
protein_coding	Irf2	interferon regulatory factor 2 [Source:MGI Symbol;Acc:MGI:96591]	16363	ENSMUSG00000031627.9
protein_coding	Casp3	caspase 3 [Source:MGI Symbol;Acc:MGI:107739]	12367	ENSMUSG00000031628.9
protein_coding	Cfap97	cilia and flagella associated protein 97 [Source:MGI Symbol;Acc:MGI:1914006]	66756	ENSMUSG00000031631.15
protein_coding	Slc25a4	solute carrier family 25 (mitochondrial carrier, adenine nucleotide translocator), member 4 [Source:MGI Symbol;Acc:MGI:1353495]	11739	ENSMUSG00000031633.4
protein_coding	Ufsp2	UFM1-specific peptidase 2 [Source:MGI Symbol;Acc:MGI:1913679]	192169	ENSMUSG00000031634.13
protein_coding	Cbr4	carbonyl reductase 4 [Source:MGI Symbol;Acc:MGI:2384567]	234309	ENSMUSG00000031641.14
protein_coding	Sh3rf1	SH3 domain containing ring finger 1 [Source:MGI Symbol;Acc:MGI:1913066]	59009	ENSMUSG00000031642.9
protein_coding	Nek1	NIMA (never in mitosis gene a)-related expressed kinase 1 [Source:MGI Symbol;Acc:MGI:97303]	18004	ENSMUSG00000031644.19
protein_coding	Mfap3l	microfibrillar-associated protein 3-like [Source:MGI Symbol;Acc:MGI:1918556]	71306	ENSMUSG00000031647.10
protein_coding	N4bp1	NEDD4 binding protein 1 [Source:MGI Symbol;Acc:MGI:2136825]	80750	ENSMUSG00000031652.11
protein_coding	Cbln1	cerebellin 1 precursor protein [Source:MGI Symbol;Acc:MGI:88281]	12404	ENSMUSG00000031654.16
